# File: AllowedSmpChars.txt
# Fields: allowed char | [replacement char]
# License: Apache-2.0 (see LICENSE)

𩨈	騟
𩨉	𩤲
𩨊	騚
𩨋	𩥄
𩨌	𩥑
𩨍	𩥇
𩨎	龭
𩨏	䮳
𩨐	𩧆
𩩈	䯤
𩬣	𩭙
𩬤	𩰀
𩭹	鬖
𩯒	𩯳
𩰰	𩰹
𩲒	𩳤
𩴌	𩴵
𩽹	魥
𩽺	𩵩
𩽻	𩵹
𩽼	鯶
𩽽	𩶱
𩽿	𩶰
𩾁	鯄
𩾂	䲖
𩾄	𩷰
𩾅	𩸃
𩾆	𩸦
𩾇	鯱
𩾈	䱙
𩾊	䱬
𩾋	䱰
𩾎	𩽇
𪉂	䲰
𪉃	鳼
𪉄	𩿪
𪉅	𪀦
𪉆	鴲
𪉈	鴜
𪉉	𪁈
𪉊	鷨
𪉋	𪀾
𪉌	𪁖
𪉍	鵚
𪉎	𪂆
𪉏	𪃏
𪉐	𪃍
𪉑	鷔
𪉒	𪄕
𪉔	𪄆
𪉕	𪇳
𪎈	䴬
𪎉	麲
𪎊	麨
𪎋	䴴
𪑅	䵳
𪔭	𪔵
𪚏	𪘀
𪚐	𪘯
𪜎	𠿕
𪞝	凙
𪟎	㔋
𪠀	𧷎
𪠟	㓄
𪠡	𠬙
𪠳	唓
𪠵	㖮
𪠸	嚛
𪠺	𠽃
𪡀	嘺
𪡃	嘪
𪡋	噞
𪡏	嗹
𪡛	㗿
𪡞	嘳
𪡺	𡃄
𪢌	㘓
𪢐	𡃤
𪢒	𡂡
𪢕	嚽
𪢖	𡅯
𪢠	囒
𪢮	圞
𪢸	墲
𪣆	埬
𪣒	堚
𪤄	𡓁
𪤚	壣
𪥠	𧹈
𪥫	孇
𪥰	嬣
𪥿	嬻
𪧀	孾
𪧘	寠
𪨊	㞞
𪨗	屩
𪨩	𡸗
𪨷	巗
𪨹	𡹬
𪩇	㟺
𪩎	巊
𪩛	𡿖
𪩷	幝
𪩸	幩
𪪑	㢗
𪪞	廧
𪪴	𢍰
𪪼	彃
𪫌	徿
𪫡	𢤩
𪫷	㦞
𪫺	憸
𪬚	𢣐
𪬯	𢤿
𪭝	𢯷
𪭢	摐
𪭧	擟
𪭯	𢶒
𪭵	掚
𪭾	撊
𪮃	㨻
𪮋	㩋
𪮖	撧
𪮳	𢺳
𪮶	攋
𪯋	㪎
𪰶	曊
𪱥	膹
𪱷	梖
𪲎	櫅
𪲔	欐
𪲛	檵
𪲮	櫠
𪳍	欇
𪳗	𣜬
𪴙	欑
𪵑	毊
𪵣	霼
𪵱	濿
𪶄	溡
𪶒	𤄷
𪶮	𣽏
𪷍	㵾
𪸕	熂
𪸩	煇
𪹀	𤑹
𪹠	𤓌
𪹳	爥
𪹹	𤒻
𪺣	𤘀
𪺪	𤜆
𪺭	犞
𪺷	獊
𪺸	𤠮
𪺻	㺜
𪺽	猌
𪻐	瑽
𪻨	瓄
𪻲	瑻
𪻺	璝
𪼋	㻶
𪼴	𤬅
𪽈	畼
𪽝	𤳷
𪽪	痮
𪽭	𤷃
𪽮	㿖
𪽴	𤺔
𪽷	瘱
𪾔	盨
𪾣	眝
𪾦	矑
𪾸	矉
𪿊	𥏝
𪿞	𥖲
𪿫	礮
𪿵	𥗇
𫀌	𥜰
𫀓	𥜐
𫀨	䅐
𫀬	䅳
𫀮	𥢷
𫁂	䆉
𫁟	竱
𫁡	鴗
𫁱	𥶽
𫁲	䉑
𫁳	𥯤
𫁷	䉶
𫁺	𥴼
𫂃	簢
𫂆	簂
𫂈	䉬
𫂖	𥴨
𫂿	𥻦
𫃗	𩏷
𫄙	糺
𫄚	䊺
𫄛	紟
𫄜	䋃
𫄝	𥾯
𫄞	䋔
𫄟	絁
𫄠	絙
𫄡	絧
𫄢	絥
𫄣	繷
𫄤	繨
𫄥	纚
𫄦	𦀖
𫄩	䋦
𫄪	𦅇
𫄫	綟
𫄬	緤
𫄭	緮
𫄮	䋼
𫄯	𦃩
𫄰	縍
𫄱	繬
𫄲	縸
𫄳	縰
𫄴	繂
𫄵	𦅈
𫄶	繈
𫄹	纗
𫅅	䍤
𫅗	羵
𫅥	𦒀
𫅭	䎙
𫅼	𦔖
𫆏	聻
𫆝	𦟼
𫆫	𦡝
𫇘	𦧺
𫇛	艣
𫇪	𦱌
𫇴	蒭
𫇽	蕽
𫈉	蕳
𫈎	葝
𫈵	蕝
𫉁	薆
𫉄	藷
𫊪	䗅
𫊮	蠦
𫊸	蟜
