囀	啭
囁	嗫
囂	嚣
囅	冁
囈	呓
囉	啰
囌	苏
囑	嘱
回	回
囪	囱
困	困
圇	囵
國	国
圍	围
園	园
圓	圆
圖	图
團	团
圞	𪢮
坐	坐
垵	埯
埡	垭
埰	采
執	执
堅	坚
堊	垩
堖	垴
堝	埚
堯	尧
報	报
場	场
塊	块
塋	茔
塏	垲
塒	埘
塗	涂
塚	冢
塢	坞
塤	埙
塵	尘
塹	堑
墊	垫
墜	坠
墮	堕
墰	坛
墳	坟
墻	墙
墾	垦
壇	坛
壈	𡒄
壋	垱
壓	压
壘	垒
壙	圹
壚	垆
壜	坛
壞	坏
壟	垄
壠	垅
壢	坜
壩	坝
壯	壮
壺	壶
壼	壸
壽	寿
夠	够
夢	梦
夥	伙
夸	夸
夾	夹
奐	奂
奧	奥
奩	奁
奪	夺
奬	奖
奮	奋
奸	奸
奼	姹
妝	妆
姍	姗
姜	姜
姦	奸
娘	娘
娛	娱
婁	娄
婦	妇
婭	娅
媧	娲
媯	妫
媼	媪
媽	妈
嫋	袅
嫗	妪
嫵	妩
嫻	娴
嫿	婳
嬀	妫
嬈	娆
嬋	婵
嬌	娇
嬙	嫱
嬡	嫒
嬤	嬤
嬪	嫔
嬰	婴
嬸	婶
孃	娘
孌	娈
孫	孙
學	学
孿	孪
宮	宫
家	家
寀	采
寢	寝
實	实
寧	宁
審	审
寫	写
寬	宽
寵	宠
寶	宝
將	将
專	专
尋	寻
對	对
導	导
尷	尴
尸	尸
局	局
屆	届
屍	尸
屓	屃
屜	屉
屢	屡
層	层
屨	屦
屩	𪨗
屬	属
岡	冈
岩	岩
峴	岘
島	岛
峽	峡
崍	崃
崑	昆
崗	岗
崙	仑
崢	峥
崬	岽
嵐	岚
嵗	岁
嶁	嵝
嶄	崭
嶇	岖
嶔	嵚
嶗	崂
嶠	峤
嶢	峣
嶧	峄
嶮	崄
嶴	岙
嶸	嵘
嶺	岭
嶼	屿
嶽	岳
巋	岿
巒	峦
巔	巅
巖	岩
巨	巨
巰	巯
巹	卺
布	布
帘	帘
帥	帅
師	师
席	席
帳	帐
帶	带
幀	帧
幃	帏
幗	帼
幘	帻
幟	帜
幣	币
幫	帮
幬	帱
干	干
幸	幸
幹	干
幺	幺
幾	几
广	广
座	座
庫	库
庵	庵
廁	厕
廂	厢
廄	厩
廈	厦
廕	荫
廚	厨
廝	厮
廟	庙
廠	厂
廡	庑
廢	废
廣	广
廩	廪
廬	庐
廳	厅
弒	弑
弔	吊
弦	弦
弳	弪
張	张
強	强
彆	别
彈	弹
彌	弥
彎	弯
彔	录
彙	汇
彞	彝
彥	彦
彩	彩
彫	雕
彷	彷 仿
彿	佛
征	征
後	后
徑	径
從	从
徠	徕
御	御
復	复
徵	征 徵
徹	彻
志	志
念	念
恆	恒
恥	耻
悅	悦
悞	悮
悵	怅
悶	闷
悽	凄
惡	恶
惱	恼
惲	恽
惻	恻
愈	愈
愛	爱
愜	惬
愨	悫
愴	怆
愷	恺
愾	忾
愿	愿
慄	栗
態	态
慍	愠
慘	惨
慚	惭
慟	恸
慣	惯
慤	悫
慪	怄
慫	怂
慮	虑
慳	悭
慶	庆
慼	戚
慾	欲
憂	忧
憊	惫
憐	怜
憑	凭
憒	愦
憚	惮
憤	愤
憫	悯
憮	怃
憲	宪
憶	忆
懇	恳
應	应
懌	怿
懍	懔
懞	蒙
懟	怼
懣	懑
懨	恹
懲	惩
懶	懒
懷	怀
懸	悬
懺	忏
懼	惧
懾	慑
戀	恋
戇	戆
戔	戋
戚	戚
戧	戗
戩	戬
戰	战
戱	戯
戲	戏
戶	户
才	才
扎	扎
托	托
扣	扣
折	折
拋	抛
拐	拐
拚	拚
挂	挂
挨	挨
挩	捝
挱	挲
挽	挽
挾	挟
捨	舍
捫	扪
据	据
捱	挨
捲	卷
掃	扫
掄	抡
掗	挜
掙	挣
掛	挂
採	采
揀	拣
揚	扬
換	换
揮	挥
損	损
搖	摇
搗	捣
搜	搜
搵	揾
搶	抢
摑	掴
摜	掼
摟	搂
摯	挚
摳	抠
摶	抟
摺	折
摻	掺
撈	捞
撏	挦
撐	撑
撓	挠
撝	㧑
撟	挢
撣	掸
撥	拨
撫	抚
撲	扑
撳	揿
撻	挞
撾	挝
撿	捡
擁	拥
擄	掳
擇	择
擊	击
擋	挡
擓	㧟
擔	担
據	据
擠	挤
擡	抬
擬	拟
擯	摈
擰	拧
擱	搁
擲	掷
擴	扩
擷	撷
擺	摆
擻	擞
擼	撸
擾	扰
攄	摅
攆	撵
攏	拢
攔	拦
攖	撄
攙	搀
攛	撺
攜	携
攝	摄
攢	攒
攣	挛
攤	摊
攪	搅
攬	揽
敎	教
敗	败
敘	叙
敵	敌
數	数
斂	敛
斃	毙
斕	斓
斗	斗
斬	斩
斷	断
於	于 於
旂	旗
旣	既
昆	昆
昇	升
時	时
晉	晋
晝	昼
暈	晕
暉	晖
暗	暗
暘	旸
暢	畅
暫	暂
曄	晔
曆	历
曇	昙
曉	晓
曏	向
曖	暧
曠	旷
曨	昽
曬	晒
曲	曲
書	书
會	会
朧	胧
朮	术
朱	朱
朴	朴
杆	杆
杠	杠
杯	杯
杰	杰
東	东
杴	锨
松	松
板	板
极	极
枴	拐
柜	柜
柵	栅
柺	拐
査	查
栗	栗
核	核
桿	杆
梁	梁
梔	栀
梘	枧
條	条
梟	枭
梲	棁
棄	弃
棊	棋
棖	枨
棗	枣
棟	栋
棡	
棧	栈
棱	棱
棲	栖
棶	梾
椏	桠
楊	杨
楓	枫
楨	桢
業	业
極	极
榘	矩
榦	干
榪	杩
榮	荣
榲	榅
榿	桤
構	构
槍	枪
槓	杠
槤	梿
槧	椠
槨	椁
槳	桨
樁	桩
樂	乐
樅	枞
樑	梁
樓	楼
標	标
樞	枢
樣	样
樸	朴
樹	树
樺	桦
橈	桡
橋	桥
機	机
橢	椭
橫	横
檁	檩
檉	柽
檔	档
檜	桧
檟	槚
檢	检
檣	樯
檮	梼
檯	台
檳	槟
檸	柠
檻	槛
櫃	柜
櫓	橹
櫚	榈
櫛	栉
櫝	椟
櫞	橼
櫟	栎
櫥	橱
櫧	槠
櫨	栌
櫪	枥
櫫	橥
櫬	榇
櫱	蘖
櫳	栊
櫸	榉
櫻	樱
欄	栏
欅	榉
權	权
欏	椤
欒	栾
欖	榄
欞	棂
欲	欲
欽	钦
歎	叹
歐	欧
歟	欤
歡	欢
歲	岁
歷	历
歸	归
歿	殁
殘	残
殞	殒
殤	殇
殨	㱮
殫	殚
殭	僵
殮	殓
殯	殡
殰	㱩
殲	歼
殺	杀
殻	壳
殼	壳
毀	毁
毆	殴
毿	毵
氂	牦
氈	毡
氌	氇
氣	气
氫	氢
氬	氩
氳	氲
氾	泛
汎	泛
汙	污
決	决
沈	沈 沉
沒	没
沖	冲
況	况
泛	泛
泝	溯
注	注
洩	泄
洶	汹
浹	浃
涂	涂
涇	泾
涌	涌
涼	凉
淀	淀
淒	凄
淚	泪
淥	渌
淨	净
淩	凌
淪	沦
淵	渊
淶	涞
淺	浅
渙	涣
減	减
渦	涡
測	测
游	游
渾	浑
湊	凑
湞	浈
湧	涌
湯	汤
溈	沩
準	准
溝	沟
溫	温
溼	湿
滄	沧
滅	灭
滌	涤
滎	荥
滙	汇
滬	沪
滯	滞
滲	渗
滷	卤
滸	浒
滻	浐
滾	滚
滿	满
漁	渔
漓	漓
漚	沤
漢	汉
漣	涟
漬	渍
漲	涨
漵	溆
漸	渐
漿	浆
潁	颍
潑	泼
潔	洁
潙	沩
潛	潜
潤	润
潯	浔
潰	溃
潷	滗
潿	涠
澀	涩
澆	浇
澇	涝
澐	沄
澗	涧
澠	渑
澤	泽
澦	滪
澩	泶
澮	浍
澱	淀
澾	㳠
濁	浊
濃	浓
濕	湿
濘	泞
濛	蒙
濟	济
濤	涛
濫	滥
濰	潍
濱	滨
濺	溅
濼	泺
濾	滤
瀅	滢
瀆	渎
瀇	㲿
瀉	泻
瀋	沈 渖
瀏	浏
瀕	濒
瀘	泸
瀝	沥
瀟	潇
瀠	潆
瀦	潴
瀧	泷
瀨	濑
瀰	弥
瀲	潋
瀾	澜
灃	沣
灄	滠
灑	洒
灕	漓
灘	滩
灝	灏
灠	漤
灣	湾
灤	滦
灧	滟
灩	滟
災	灾
為	为
烏	乌
烴	烃
無	无
煉	炼
煒	炜
煙	烟
煢	茕
煥	焕
煩	烦
煬	炀
煱	㶽
熅	煴
熏	熏
熒	荧
熗	炝
熱	热
熲	颎
熾	炽
燁	烨
燈	灯
燉	炖
燒	烧
燙	烫
燜	焖
營	营
燦	灿
燬	毁
燭	烛
燴	烩
燶	㶶
燻	熏
燼	烬
燾	焘
爍	烁
爐	炉
爛	烂
爭	争
爲	为
爺	爷
爾	尔
牀	床
牆	墙
牘	牍
牴	牴 抵
牽	牵
犖	荦
犢	犊
犧	牺
狀	状
狹	狭
狽	狈
猙	狰
猶	犹
猻	狲
獁	犸
獃	呆
獄	狱
獅	狮
獎	奖
獨	独
獪	狯
獫	猃
獮	狝
獰	狞
獱	㺍
獲	获
獵	猎
獷	犷
獸	兽
獺	獭
獻	献
獼	猕
玀	猡
現	现
琱	雕
琺	珐
琿	珲
瑋	玮
瑒	玚
瑣	琐
瑤	瑶
瑩	莹
瑪	玛
瑲	玱
瑽	𪻐
璉	琏
璣	玑
璦	瑷
璫	珰
環	环
璽	玺
瓊	琼
瓏	珑
瓔	璎
瓚	瓒
瓮	瓮
甌	瓯
甕	瓮
產	产
産	产
甦	苏
甯	宁
畝	亩
畢	毕
畫	画 划
異	异
畵	画
當	当
疇	畴
疊	叠
症	症
痙	痉
痠	酸
痾	疴
瘂	痖
瘋	疯
瘍	疡
瘓	痪
瘞	瘗
瘡	疮
瘧	疟
瘮	瘆
瘲	疭
瘺	瘘
瘻	瘘
療	疗
癆	痨
癇	痫
癉	瘅
癒	愈
癘	疠
癟	瘪
癡	痴
癢	痒
癤	疖
癥	症
癧	疬
癩	癞
癬	癣
癭	瘿
癮	瘾
癰	痈
癱	瘫
癲	癫
發	发
皁	皂
皚	皑
皰	疱
皸	皲
皺	皱
盃	杯
盜	盗
盞	盏
盡	尽
監	监
盤	盘
盧	卢
盪	荡
眞	真
眥	眦
眾	众
睍	𪾢
睏	困
睜	睁
睞	睐
睪	睾 睪
瞘	眍
瞜	䁖
瞞	瞒
瞭	瞭 了
瞶	瞆
瞼	睑
矇	蒙
矓	眬
矚	瞩
矩	矩
矯	矫
硃	朱
硜	硁
硤	硖
硨	砗
确	确
硯	砚
碕	埼
碩	硕
碭	砀
碸	砜
確	确
碼	码
磑	硙
磚	砖
磣	碜
磧	碛
磯	矶
磽	硗
礆	硷
礎	础
礙	碍
礦	矿
礪	砺
礫	砾
礬	矾
礱	砻
祇	祇 只
祕	秘
祘	祘
祿	禄
禍	祸
禎	祯
禕	祎
禡	祃
禦	御
禪	禅
禮	礼
禰	祢
禱	祷
禿	秃
私	私
秈	籼
秋	秋
种	种
稅	税
稈	秆
稏	䅉
稜	棱
稟	禀
種	种
稱	称
穀	谷
穌	稣
積	积
穎	颖
穗	穗
穠	秾
穡	穑
穢	秽
穩	稳
穫	获
穭	稆
窩	窝
窪	洼
窮	穷
窯	窑
窵	窎
窶	窭
窺	窥
竄	窜
竅	窍
竇	窦
竈	灶
竊	窃
竪	竖
競	竞
筆	笔
筍	笋
筑	筑
筧	笕
筴	䇲
箇	个
箋	笺
箏	筝
節	节
範	范
築	筑
篋	箧
篔	筼
篤	笃
篩	筛
篳	筚
簀	箦
簍	篓
簑	蓑
簞	箪
簡	简
簣	篑
簫	箫
簹	筜
簽	签
簾	帘
籃	篮
籌	筹
籙	箓
籜	箨
籟	籁
籠	笼
籤	签
籩	笾
籪	簖
籬	篱
籮	箩
籲	吁
粵	粤
糝	糁
糞	粪
糧	粮
糰	团
糲	粝
糴	籴
糶	粜
糹	纟
系	系
糾	纠
紀	纪
紂	纣
約	约
紅	红
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
納	纳
紐	纽
紓	纾
純	纯
紕	纰
紖	纼
紗	纱
紘	纮
紙	纸
級	级
紛	纷
紜	纭
紝	纴
紡	纺
紬	䌷
紮	扎
累	累
細	细
紱	绂
紲	绁
紳	绅
紵	纻
紹	绍
紺	绀
紼	绋
紿	绐
絀	绌
終	终
絃	弦
組	组
絅	䌹
絆	绊
絎	绗
結	结
絕	绝
絛	绦
絝	绔
絞	绞
絡	络
絢	绚
給	给
絨	绒
絰	绖
統	统
絲	丝
絳	绛
絶	绝
絹	绢
絺	𫄨
綁	绑
綃	绡
綆	绠
綈	绨
綉	绣
綌	绤
綏	绥
綐	䌼
綑	捆
經	经
綜	综
綞	缍
綠	绿
綢	绸
綣	绻
綫	线
綬	绶
維	维
綯	绹
綰	绾
綱	纲
網	网
綳	绷
綴	缀
綵	彩 䌽
綸	纶
綹	绺
綺	绮
綻	绽
綽	绰
綾	绫
綿	绵
緄	绲
緇	缁
緊	紧
緋	绯
緑	绿
緒	绪
緓	绬
緔	绱
緗	缃
緘	缄
緙	缂
線	线
緝	缉
緞	缎
締	缔
緡	缗
緣	缘
緦	缌
編	编
緩	缓
緬	缅
緯	纬
緱	缑
緲	缈
練	练
緶	缏
緹	缇
緻	致
縈	萦
縉	缙
縊	缢
縋	缒
縐	绉
縑	缣
縕	缊
縗	缞
縛	缚
縝	缜
縞	缟
縟	缛
縣	县
縧	绦
縫	缝
縭	缡
縮	缩
縱	纵
縲	缧
縳	䌸
縴	纤
縵	缦
縶	絷
縷	缕
縹	缥
總	总
績	绩
繃	绷
繅	缫
繆	缪
繐	穗
繒	缯
織	织
繕	缮
繚	缭
繞	绕
繡	绣
繢	缋
繩	绳
繪	绘
繫	系
繭	茧
繮	缰
繯	缳
繰	缲
繳	缴
繸	䍁
繹	绎
繼	继
繽	缤
繾	缱
繿	䍀
纁	𫄸
纈	缬
纊	纩
續	续
纍	累
纏	缠
纓	缨
纔	才
纖	纤
纘	缵
纜	缆
缽	钵
罈	坛
罌	罂
罎	坛
罰	罚
罵	骂
罷	罢
羅	罗
羆	罴
羈	羁
羋	芈
羣	群
羥	羟
羨	羡
義	义
羶	膻
習	习
翹	翘
耬	耧
耮	耢
聖	圣
聞	闻
聯	联
聰	聪
聲	声
聳	耸
聵	聩
聶	聂
職	职
聹	聍
聽	听
聾	聋
肅	肃
肴	肴
胜	胜
胡	胡
脅	胁
脈	脉
脛	胫
脣	唇
脩	修
脫	脱
脹	胀
腊	腊
腌	腌
腎	肾
腖	胨
腡	脶
腦	脑
腫	肿
腳	脚
腸	肠
膃	腽
膚	肤
膠	胶
膩	腻
膽	胆
膾	脍
膿	脓
臉	脸
臍	脐
臏	膑
臘	腊
臚	胪
臟	脏
臠	脔
臢	臜
臥	卧
臨	临
致	致
臺	台
與	与
興	兴
舉	举
舊	旧
舍	舍
舘	馆
艙	舱
艤	舣
艦	舰
艫	舻
艱	艰
艷	艳
芻	刍
苧	苎
苹	苹
范	范
茲	兹
荊	荆
荐	荐
莊	庄
莖	茎
莢	荚
莧	苋
華	华
菴	庵
菸	烟
萇	苌
萊	莱
萬	万
萵	莴
葉	叶
葒	荭
著	著
葤	荮
葦	苇
葯	药
葷	荤
蒐	搜
蒓	莼
蒔	莳
蒙	蒙
蒞	莅
蒼	苍
蓀	荪
蓆	席
蓋	盖
蓮	莲
蓯	苁
蓴	莼
蓽	荜
蔑	蔑
蔔	卜
蔘	参
蔞	蒌
蔣	蒋
蔥	葱
蔦	茑
蔭	荫
蕁	荨
蕆	蒇
蕎	荞
蕒	荬
蕓	芸
蕕	莸
蕘	荛
蕢	蒉
蕩	荡
蕪	芜
蕭	萧
蕷	蓣
薀	蕰
薈	荟
薊	蓟
薌	芗
薑	姜
薔	蔷
薘	荙
薟	莶
薦	荐
薩	萨
薰	熏
薳	䓕
薴	苧
薹	苔 薹
薺	荠
藉	藉 借
藍	蓝
藎	荩
藝	艺
藥	药
藪	薮
藴	蕴
藶	苈
藹	蔼
藺	蔺
蘄	蕲
蘆	芦
蘇	苏
蘊	蕴
蘋	苹 蘋
蘚	藓
蘞	蔹
蘢	茏
蘭	兰
蘺	蓠
蘿	萝
虆	蔂
處	处
虛	虚
虜	虏
號	号
虧	亏
虫	虫
虯	虬
蛺	蛱
蛻	蜕
蜆	蚬
蜡	蜡
蝕	蚀
蝟	猬
蝦	虾
蝸	蜗
螄	蛳
螞	蚂
螢	萤
螮	䗖
螻	蝼
螿	螀
蟄	蛰
蟈	蝈
蟎	螨
蟣	虮
蟬	蝉
蟯	蛲
蟲	虫
蟶	蛏
蟻	蚁
蠅	蝇
蠆	虿
蠍	蝎
蠐	蛴
蠑	蝾
蠟	蜡
蠣	蛎
蠨	蟏
蠱	蛊
蠶	蚕
蠻	蛮
衆	众
衊	蔑
術	术
衕	同
衚	胡
衛	卫
衝	冲
表	表
衹	衹 只
袞	衮
裊	袅
裏	里
補	补
裝	装
裡	里
製	制
複	复
褌	裈
褘	袆
褲	裤
褳	裢
褸	褛
褻	亵
襀	𫌀
襆	幞
襇	裥
襏	袯
襖	袄
襝	裣
襠	裆
襤	褴
襪	袜
襬	摆
襯	衬
襲	袭
覆	覆 复
覈	核
見	见
覎	觃
規	规
覓	觅
視	视
覘	觇
覡	觋
覥	觍
覦	觎
親	亲
覬	觊
覯	觏
覲	觐
覷	觑
覺	觉
覼	𫌨
覽	览
覿	觌
觀	观
觴	觞
觶	觯
觸	触
訁	讠
訂	订
訃	讣
計	计
訊	讯
訌	讧
討	讨
訐	讦
訑	𫍙
訒	讱
訓	训
訕	讪
訖	讫
託	托 讬
記	记
訛	讹
訝	讶
訟	讼
訢	䜣
訣	诀
訥	讷
訩	讻
訪	访
設	设
許	许
訴	诉
訶	诃
診	诊
註	注
詁	诂
詆	诋
詎	讵
詐	诈
詒	诒
詔	诏
評	评
詖	诐
詗	诇
詘	诎
詛	诅
詞	词
詠	咏
詡	诩
詢	询
詣	诣
試	试
詩	诗
詫	诧
詬	诟
詭	诡
詮	诠
詰	诘
話	话
該	该
詳	详
詵	诜
詼	诙
詿	诖
誄	诔
誅	诛
誆	诓
誇	夸
誌	志
認	认
誑	诳
誒	诶
誕	诞
誘	诱
誚	诮
語	语
誠	诚
誡	诫
誣	诬
誤	误
誥	诰
誦	诵
誨	诲
說	说
説	说
誰	谁
課	课
誶	谇
誹	诽
誼	谊
誾	訚
調	调
諂	谄
諄	谆
談	谈
諉	诿
請	请
諍	诤
諏	诹
諑	诼
諒	谅
論	论
諗	谂
諛	谀
諜	谍
諝	谞
諞	谝
諢	诨
諤	谔
諦	谛
諧	谐
諫	谏
諭	谕
諮	咨 谘
諰	𫍰
諱	讳
諳	谙
諶	谌
諷	讽
諸	诸
諺	谚
諼	谖
諾	诺
謀	谋
謁	谒
謂	谓
謄	誊
謅	诌
謊	谎
謎	谜
謏	𫍲
謐	谧
謔	谑
謖	谡
謗	谤
謙	谦
謚	谥
講	讲
謝	谢
謠	谣
謡	谣
謨	谟
謫	谪
謬	谬
謭	谫
謳	讴
謹	谨
謾	谩
譁	哗
譅	䜧
證	证
譊	𫍢
譎	谲
譏	讥
譖	谮
識	识
譙	谯
譚	谭
譜	谱
譟	噪
譫	谵
譭	毁
譯	译
議	议
譴	谴
護	护
譸	诪
譽	誉
譾	谫
讀	读
變	变
讎	雠
讒	谗
讓	让
讕	谰
讖	谶
讚	赞
讜	谠
讞	谳
谷	谷
豈	岂
豎	竖
豐	丰
豔	艳
豬	猪
豶	豮
貓	猫
貙	䝙
貝	贝
貞	贞
貟	贠
負	负
財	财
貢	贡
貧	贫
貨	货
販	贩
貪	贪
貫	贯
責	责
貯	贮
貰	贳
貲	赀
貳	贰
貴	贵
貶	贬
買	买
貸	贷
貺	贶
費	费
貼	贴
貽	贻
貿	贸
賀	贺
賁	贲
賂	赂
賃	赁
賄	贿
賅	赅
資	资
賈	贾
賊	贼
賑	赈
賒	赊
賓	宾
賕	赇
賙	赒
賚	赉
賜	赐
賞	赏
賠	赔
賡	赓
賢	贤
賣	卖
賤	贱
賦	赋
賧	赕
質	质
賫	赍
賬	账
賭	赌
賰	䞐
賴	赖
賵	赗
賺	赚
賻	赙
購	购
賽	赛
賾	赜
贄	贽
贅	赘
贇	赟
贈	赠
贊	赞
贋	赝
贍	赡
贏	赢
贐	赆
贓	赃
贔	赑
贖	赎
贗	赝
贛	赣
贜	赃
赬	赪
趕	赶
趙	赵
趨	趋
趲	趱
跡	迹
踊	踊
踐	践
踰	逾
踴	踊
蹌	跄
蹕	跸
蹟	迹
蹣	蹒
蹤	踪
蹺	跷
蹻	𫏋
躂	跶
躉	趸
躊	踌
躋	跻
躍	跃
躑	踯
躒	跞
躓	踬
躕	蹰
躚	跹
躡	蹑
躥	蹿
躦	躜
躪	躏
軀	躯
車	车
軋	轧
軌	轨
軍	军
軏	𫐄
軑	轪
軒	轩
軔	轫
軛	轭
軟	软
軤	轷
軨	𫐉
軫	轸
軲	轱
軸	轴
軹	轵
軺	轺
軻	轲
軼	轶
軾	轼
較	较
輅	辂
輇	辁
輈	辀
載	载
輊	轾
輒	辄
輓	挽
輔	辅
輕	轻
輗	𫐐
輛	辆
輜	辎
輝	辉
輞	辋
輟	辍
輥	辊
輦	辇
輩	辈
輪	轮
輬	辌
輮	𫐓
輯	辑
輳	辏
輸	输
輻	辐
輾	辗
輿	舆
轀	辒
轂	毂
轄	辖
轅	辕
轆	辘
轉	转
轍	辙
轎	轿
轔	辚
轟	轰
轡	辔
轢	轹
轣	𫐆
轤	轳
辟	辟
辦	办
辭	辞
辮	辫
辯	辩
農	农
迴	回
适	适
逕	迳
這	这
連	连
週	周
進	进
遊	游
運	运
過	过
達	达
違	违
遙	遥
遜	逊
遞	递
遠	远
遡	溯
適	适
遲	迟
遷	迁
選	选
遺	遗
遼	辽
邁	迈
還	还
邇	迩
邊	边
邏	逻
邐	逦
郁	郁
郟	郏
郵	邮
鄆	郓
鄉	乡
鄒	邹
鄔	邬
鄖	郧
鄧	邓
鄭	郑
鄰	邻
鄲	郸
鄴	邺
鄶	郐
鄺	邝
酇	酂
酈	郦
酸	酸
醃	腌
醖	酝
醜	丑
醞	酝
醣	糖
醫	医
醬	酱
醯	醯
醱	酦
釀	酿
釁	衅
釃	酾
釅	酽
采	采
釋	释
里	里
釐	厘
釒	钅
釓	钆
釔	钇
釕	钌
釗	钊
釘	钉
釙	钋
針	针
釣	钓
釤	钐
釦	扣
釧	钏
釩	钒
釳	𨰿
釵	钗
釷	钍
釹	钕
釺	钎
釾	䥺
鈀	钯
鈁	钫
鈃	钘
鈄	钭
鈇	𫓧
鈈	钚
鈉	钠
鈋	𨱂
鈍	钝
鈎	钩
鈐	钤
鈑	钣
鈒	钑
鈔	钞
鈕	钮 扭
鈞	钧
鈠	𨱁
鈣	钙
鈥	钬
