栌	櫨
栎	櫟
栏	欄
树	樹
栖	棲
栗	慄 栗
样	樣
核	核 覈
栾	欒
桠	椏
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
梁	樑 梁
梦	夢
梼	檮
梾	棶
梿	槤
检	檢
棁	梲
棂	欞
棱	棱
椁	槨
椟	櫝
椠	槧
椤	欏
椭	橢
楼	樓
榄	欖
榅	榲
榇	櫬
榈	櫚
榉	櫸
槚	檟
槛	檻
槟	檳
槠	櫧
横	橫
樯	檣
樱	櫻
橥	櫫
橱	櫥
橹	櫓
橼	櫞
檩	檁
欢	歡
欤	歟
欧	歐
欲	欲 慾
歼	殲
殁	歿
殇	殤
残	殘
殒	殞
殓	殮
殚	殫
殡	殯
殴	毆
毁	毀 燬 譭
毂	轂
毕	畢
毙	斃
毡	氈
毵	毿
氇	氌
气	氣
氢	氫
氩	氬
氲	氳
汇	匯 彙
汉	漢
污	污
汤	湯
汹	洶
沈	沈 瀋
沟	溝
没	沒
沣	灃
沤	漚
沥	瀝
沦	淪
沧	滄
沩	潙
沪	滬
泛	泛 氾 汎
泞	濘
注	注 註
泪	淚
泶	澩
泷	瀧
泸	瀘
泺	濼
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洒	灑
洼	窪
浃	浹
浅	淺
浆	漿
浇	澆
浈	湞
浊	濁
测	測
浍	澮
济	濟
浏	瀏
浐	滻
浑	渾
浒	滸
浓	濃
浔	潯
涂	塗 涂
涌	涌
涛	濤
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涣	渙
涤	滌
润	潤
涧	澗
涨	漲
涩	澀
淀	澱 淀
渊	淵
渌	淥
渍	漬
渎	瀆
渐	漸
渑	澠
渔	漁
渖	瀋
渗	滲
温	溫
游	遊 游
湾	灣
湿	溼
溃	潰
溅	濺
溆	漵
滗	潷
滚	滾
滞	滯
滟	灩
滠	灄
满	滿
滢	瀅
滤	濾
滥	濫
滦	灤
滨	濱
滩	灘
滪	澦
漓	漓 灕
漤	灠
潆	瀠
潇	瀟
潋	瀲
潍	濰
潜	潛
潴	瀦
澜	瀾
濑	瀨
濒	瀕
灏	灝
灭	滅
灯	燈
灵	靈
灶	竈
灾	災
灿	燦
炀	煬
炉	爐
炖	燉
炜	煒
炝	熗
点	點
炼	煉 鍊
炽	熾
烁	爍
烂	爛
烃	烴
烛	燭
烟	煙 菸
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
烬	燼
热	熱
焕	煥
焖	燜
焘	燾
煴	熅
熏	薰 燻
爱	愛
爷	爺
牍	牘
牦	氂
牵	牽
牺	犧
犊	犢
状	狀
犷	獷
犸	獁
犹	猶
狈	狽
狝	獮
狞	獰
独	獨
狭	狹
狮	獅
狯	獪
狰	猙
狱	獄
狲	猻
猃	獫
猎	獵
猕	獼
猡	玀
猪	豬
猫	貓
猬	蝟
献	獻
獭	獺
玑	璣
玚	瑒
玛	瑪
玮	瑋
环	環
现	現
玱	瑲
玺	璽
珐	琺
珑	瓏
珰	璫
珲	琿
琏	璉
琐	瑣
琼	瓊
瑶	瑤
瑷	璦
璎	瓔
瓒	瓚
瓮	甕
瓯	甌
电	電
画	畫
畅	暢
畴	疇
疖	癤
疗	療
