㨗	捷
餧	喂
旾	春
䘚	卒
冺	泯
艣	櫓
𫇛	櫓
葢	蓋
剳	札
眞	真
諡	謚
襍	雜
頹	頽
灋	法
冐	冒
繖	傘
拠	據
鷴	鷳
鞾	靴
𠕅	再
栰	筏
畞	畝
崑	昆
繙	翻
搉	榷
覔	覓
㨿	據
膓	腸
囓	嚙
櫺	欞
蠭	蜂
蹏	蹄
爗	燁
逓	遞
侶	侣
酧	酬
礮	炮
晳	晰
鞵	鞋
巗	岩
餻	糕
衂	衄
𡚁	弊
𠖇	冥
働	動
戯	戲
潛	潜
捜	搜
堖	垴
託	托
𡻕	歲
枏	楠
搤	扼
搖	摇
竝	并
說	説
隖	塢
鼇	鰲
翫	玩
鑛	礦
敘	叙
䠶	射
靜	静
陗	峭
猂	悍
唕	唣
槹	槔
珎	珍
眡	視
悽	凄
譾	謭
脩	修 脩
彂	發
臯	皋
捄	救
輙	輒
莾	莽
砦	寨
敭	揚
烱	炯
陞	升 陞
譭	毁
氾	泛 氾
搵	揾
磟	碌
嗁	啼
蠒	繭
袟	帙
𡽪	徽
躶	裸
穏	穩
剎	刹
𦾟	𦶻
厤	曆
疘	肛
嶃	嶄
鬨	哄
灨	贛
晉	晋
廰	廳
颺	揚 颺
飊	飆
痠	酸
澂	澄 澂
刧	劫
灎	灧
淚	泪
屜	屉
牓	榜
疊	叠
遉	偵
鱻	鮮
熈	熙
贓	贜
昰	是
盜	盗
啟	啓
𡬶	尋
龎	龐
懃	勤
洶	汹
稭	秸
皰	疱
歘	欻
戶	户
単	單
犇	奔 犇
壊	壞
揑	捏
勣	績 勣
氂	牦
暱	昵
崢	峥
蒍	蔿
䳘	鵝
烖	灾
飃	飄
煥	焕
甕	瓮
跼	局
蝱	虻
朞	期
膃	腽
慼	戚
覇	霸
藷	薯
埜	野
囙	因
墖	塔
嵗	歲
俛	俯 俛
痾	疴
丟	丢
㕥	以
唫	吟
諮	咨 諮
躳	躬
爕	燮
嬤	嬷
姉	姊
蘤	花
剙	創
謠	謡
薙	剃
鍫	鍬
佈	布
謩	謨
荍	蕎
屆	届
貲	資 貲
駮	駁
䖏	處
偪	逼
谿	溪 谿
㢘	廉
艥	楫
関	關
疉	叠
顏	顔
虆	蔂
毬	球
鎗	槍
鈡	鐘
吳	吴
廕	蔭
獘	斃
䠀	蹚
闚	窺
呂	吕
臙	胭
瘓	痪
橅	模
襉	襇
齧	嚙
峩	峨
斚	斝
沒	没
韻	韵
盫	盦
韁	繮
嬝	裊
飜	翻
聼	聽
辤	辭
謼	呼
胷	胸
溼	濕
噓	嘘
縕	緼
帬	裙
暠	皓
卻	却
蕿	萱
挵	弄
紮	扎
碁	棋
牕	窗
諠	喧
髣	仿
㕘	參
㝠	冥
噉	啖
袴	褲
喫	吃
窻	窗
鹼	碱
椾	箋
剏	創
矙	瞰
舩	船
獎	奬
牆	墻
嶽	岳
𤱊	留
勅	敕
剝	剥
塩	鹽
尟	鮮
痺	痹
𢮥	操
廐	厩
妷	侄
惥	恿
煙	烟
奐	奂
娛	娱
鏁	鎖
軽	輕
賷	賫
𠫹	單
罋	瓮
𣈶	暅
幙	幕
奼	姹
汚	污
囪	囱
茍	苟
攅	攢
鈅	鑰
偺	咱
刪	删
儁	俊
犛	牦
獋	嗥
謟	諂
鉏	鋤
蓆	席
觕	粗
齩	咬
摃	扛
汙	污
畄	留
悅	悦
彛	彝
辳	農
蓴	蒓
湼	涅
籨	奩
䛡	話
陿	狹
紥	扎
閗	鬥
𡐨	野
嘑	呼
欝	鬱
祕	秘 祕
螎	融
劵	券
僊	仙
涗	涚
詶	酬
侷	局
瓉	瓚
咲	笑
匲	奩
迻	移
緐	繁
榘	矩
雝	雍
鑪	爐 鑪
尅	剋
弔	吊
粦	磷
㟁	岸
橜	橛
裠	裙
蟁	蚊
菑	灾
䗬	蜂
巖	岩
牎	窗
羴	膻
兌	兑
餚	肴
髈	膀
琖	盞
搇	撳
撦	扯
兠	兜
宻	密
麤	粗
婬	淫
纉	纘
閱	閲
減	减
蕋	蕊
揹	背
傚	效
蜨	蝶
𡞵	㛟
傑	杰
翄	翅
効	效
欅	櫸
宂	冗
唘	啓
篠	筱
濇	澀
枒	丫
肐	胳
窯	窑
寃	冤
掛	挂
槑	梅
渙	涣
廸	迪
廼	乃
衚	胡
隷	隸
捱	挨
𦃂	緊
桺	柳
𥤚	秋
袞	衮
讚	贊
牀	床
㩗	携
凴	憑
荊	荆
餽	饋
斵	斫
勳	勛
観	觀
蔕	蒂
亾	亡
壜	罎
蔴	麻
羗	羌
躰	體
譁	嘩
筩	筒
瘺	瘻
俬	私
騣	鬃
咊	和
慄	栗
殀	夭
斉	齊
旤	禍
菸	烟
兎	兔
喚	唤
覜	眺
袠	帙
蟇	蟆
泝	溯
㮣	概
骵	體
処	處
蝟	猬
跴	踩
嘷	嗥
蔘	參
䥥	鐮
稈	秆
廵	巡
蒐	搜 蒐
顇	悴
蝨	虱
箏	筝
線	綫 線
澁	澀
暎	映
偘	侃
㴱	深
邉	邊
櫫	橥
壠	壟
済	濟
烕	滅
餈	糍
稜	棱
囬	回
緜	綿
隄	堤
矴	碇
荳	豆
撐	撑
簷	檐
譆	嘻
贑	贛
趂	趁
湻	淳
誖	悖
蝯	猿
眾	衆
盪	蕩
蜺	霓
顋	腮
龢	和 龢
樷	叢
勻	匀
燻	熏
鴈	雁
㝛	宿
𦂳	緊
逕	徑 逕
椀	碗 椀
凟	瀆
辠	罪
艶	艷
倸	睬
毘	毗
箒	帚
觝	抵
塟	葬
叚	假 叚
𦵏	葬
侫	佞
蓭	庵
吶	呐
畧	略
溫	温
𦕈	眇
㬉	暖
醕	醇
鼈	鱉
蠍	蝎
痌	恫
冑	胄
粇	糠
罇	樽
姦	奸
謌	歌
嘠	嘎
竢	俟
尩	尪
殭	僵
蘐	萱
寳	寶
経	經
兗	兖
韮	韭
恆	恒
燄	焰
刱	創
週	周
燬	毁
䈰	筲
懐	懷
桮	杯
卹	恤
抝	拗
簒	篡
覊	羈
潄	漱
嬾	懶
齶	腭
缽	鉢
彊	强 疆 僵 彊
慾	欲
緾	纏
挱	挲
嚥	咽
仝	同 仝
冩	寫
𩗗	颶
窓	窗
橤	蕊 橤
癡	痴
彫	雕 凋
劎	劍
脗	吻
衇	脉
繦	襁
匵	櫝
叡	睿
漵	溆
钁	鐝 钁
喒	咱
覌	觀
査	查
袵	衽
強	强
霑	沾
畂	畝
煗	暖
栞	刊
罈	罎
媯	嬀
鉋	刨
甯	寧 甯
踫	碰
呪	咒
宐	宜
勗	勖
寕	寧
燉	炖
㩦	携
餱	糇
簮	簪
罸	罰
啣	銜
𠇮	命
𤺥	瘩
緥	褓
㝡	最
櫱	蘖
癄	憔
児	兒
醼	宴
姪	侄
亱	夜
㕑	厨
繐	穗
隂	陰
別	别
剷	鏟
畵	畫
災	灾
詠	咏
臝	裸
悤	匆
繃	綳
蠎	蟒
橫	横
麏	麇
覩	睹
脇	脅
芲	花
彥	彦
蚉	蚊
牋	箋
衘	銜
霤	溜
賸	剩
饍	膳
缾	瓶
脣	唇
餬	糊
崕	崖
砲	炮
諙	話
鎭	鎮
薀	蕰
甞	嘗
棄	弃
㠀	島
遶	繞
粰	麩
柺	拐
剱	劍
桿	杆
袷	夾 袷
帋	紙
髥	髯
揯	搄
鸎	鶯
覈	核
搨	拓
瑯	琅
蛻	蜕
覧	覽
穤	糯
讙	歡
㽞	留
㠝	巑
寔	實
詧	察
銳	鋭
皁	皂
沖	衝 冲
腳	脚
𢬸	括
麕	麇
鑤	刨
稉	粳
醞	醖
譔	撰
𦉆	碴
駈	驅
桒	桑
夣	夢
筦	管 筦
稅	税
葠	參
倣	仿
廚	厨
矁	瞅
𦊱	挂
賛	贊
內	内
厳	嚴
挐	拿
簑	蓑
㱕	歸
闇	暗
榦	幹
𤋮	熙
籑	饌
骽	腿
竚	伫
歳	歲
𧥢	誇
𦪙	䑽
豬	猪
屍	尸
陻	堙
綑	捆
琍	璃
艢	檣
蔾	藜
黙	默
狥	徇
鉆	鑽
傯	偬
慍	愠
㕠	雙
㼝	碗
恡	吝
軰	輩
堃	坤 堃
𥲻	纂
甖	罌
鶿	鷀
鉄	鐵
馿	驢
遊	游
巵	卮
琹	琴
𠞰	剿
懴	懺
冪	幂
籐	藤
斈	學
槖	橐
戹	厄
螡	蚊
孃	娘
䭾	馱
壈	𡒄
凈	净
圅	函
脃	脆
𠴟	咩
滾	滚
巹	卺
絃	弦
簙	博
玅	妙
唸	念
觔	斤
緪	縆
鄼	酇
衕	同
軃	嚲
骾	鯁
穉	稚
癈	廢
𩭪	䘿
贗	贋
遯	遁
酖	鴆
嵒	岩
崙	侖
絛	縧
篛	箬
冊	册
斸	劚
怳	恍
崘	侖
釦	扣
姍	姗
貛	獾
尫	尪
蓡	參
㥫	惇
臋	臀
嬭	奶
瘉	愈
產	産
㑺	俊
稬	糯
臈	臘
棊	棋
衖	弄
辢	辣
拋	抛
㒺	罔
徃	往
麐	麟
畱	留
跡	迹
㪟	敦
頫	俯 頫
墰	罎
鱓	鱔
燿	耀
慴	懾
爭	争
擧	舉
𠌂	傘
漥	窪
廂	厢
蕚	萼
盇	盍
堓	岸
匃	丐
齎	賫
䢜	歸
柵	栅
脈	脉
衞	衛
讎	仇 讎
轀	輼
綵	彩
僲	仙
廩	廪
隣	鄰
剹	戮
異	异
亝	齋
乗	乘
幚	幫
羶	膻
甎	磚
枴	拐
虗	虚
楳	梅
惏	婪
鎚	錘
𥄨	瞅
淛	浙
鼔	鼓
畆	畝
戞	戛
朂	勖
秈	籼
鵞	鵝
廝	厮
㯭	櫓
婣	姻
媮	偷
脫	脱
㱃	飲
亷	廉
𢷬	搗
靣	面
縂	總
愽	博
逩	奔
稾	稿
厀	膝
聀	職
攩	擋
蒕	蒀
敎	教
洩	泄
壻	婿
毧	絨
秔	粳
鉳	錇
眎	視
敺	驅
寜	寧
梔	栀
勦	剿
亯	享
睠	眷
頟	額
廁	厠
雞	鷄
廈	厦
錼	鎿
歎	嘆
槀	槁
鍊	煉 鏈 鍊
妳	你 奶
㚷	你 奶
霛	靈
衺	邪
輓	挽
舘	館
韤	襪
鎌	鐮
虖	呼
飈	飆
穅	糠
鍳	鑒
鬰	鬱
淒	凄
韝	鞲 韝
決	决
黃	黄
㪚	散
瑇	玳
惷	蠢
夘	卯
葯	藥
輭	軟
藂	叢
倃	咱
瓌	瑰
朶	朵
粵	粤
阯	址 阯
䛐	詞
鵉	鸞
庻	庶
坵	丘
槩	概
搯	掏
並	并
醃	腌
萲	萱
怱	匆
徧	遍
喆	哲 喆
揷	插
鳧	鳬
蹟	迹
併	并
𡡅	裊
偽	僞
牐	閘
讁	謫
戼	卯
瓈	璃
坿	附
毀	毁
堘	塍
蘂	蕊
凜	凛
匳	奩
媍	婦
踈	疏
藼	萱
薹	苔 薹
𤨏	瑣
霢	霡
帰	歸
塼	磚
嫺	嫻
疋	匹
豔	艷
鹻	碱
蠏	蟹
蒞	莅
娿	婀
叄	叁
饝	饃
扞	捍 扞
楥	楦
彷	彷 仿
寘	置
瑠	琉
蹻	蹺 屩 蹻
𥵃	盞
啗	啖
梲	棁
臕	膘
迯	逃
揜	掩
䶊	衄
俁	俣
麫	麵
剣	劍
満	滿
虯	虬
𩣏	桀
匟	炕
濶	闊
貓	猫
鬬	鬥
䘑	脉
聴	聽
雋	隽
蹧	糟
𣺌	渺
昇	升 昇
貍	狸
蘓	蘇
犂	犁
鷰	燕
俻	備
氷	冰
鵶	鴉
裡	裏
皜	皓
棲	栖
穪	稱
䬃	颯
颿	帆
媿	愧
鼴	鼹
巌	岩
竃	竈
欵	款
炤	照
恥	耻
閙	鬧
𨽻	隸
耑	專 耑
彞	彝
鬀	剃
祇	衹 祇
秖	衹
攷	考
樧	榝
寑	寢
顕	顯
墪	墩
涖	莅
弒	弑
斮	斫
靌	寶
兇	凶
柹	柿
雑	雜
疎	疏
鑚	鑽
儧	攢
搃	總
畮	畝
殼	殻
乹	乾
褵	縭
逥	迴
廹	迫
氊	氈
遡	溯
倐	倏
刼	劫
掙	挣
肎	肯
獃	呆
疿	痱
粃	秕
於	于 於
虛	虚
宮	宫
朢	望
冝	宜
濽	灒
祿	禄
彔	录
阨	厄
劒	劍
𥦗	窗
敍	叙
稺	稚
媼	媪
䋲	繩
況	况
悪	惡
蠔	蚝
癅	瘤
靱	韌
澣	浣
尒	爾
䊀	糊
𠪱	歷
彜	彝
閒	閑 間
鐫	鎸
讌	宴
羨	羡
銕	鐵
淨	净
肧	胚
恠	怪
醣	糖
𠻳	嗽
琱	雕
逈	迥
盋	鉢
羢	絨
曡	叠
碪	砧
瞖	翳
筍	笋
髴	佛
幇	幫
羣	群
琺	珐
欬	咳 欬
阬	坑
爼	俎
呌	叫
麞	獐
靭	韌
繡	綉
饟	餉
臥	卧
戱	戲
鎻	鎖
㫖	旨
幷	并
値	值
尙	尚
凂	浼
挿	插
瑉	珉
槪	概
揅	研
紏	糾
箚	札 劄
夑	燮
橣	檸
撃	擊
騌	鬃
鰌	鰍
筴	策 筴
傌	駡
鈆	鉛
煇	輝
頴	穎
駞	駝
糺	糾
紬	綢
鑑	鑒 鑑
厓	崖 睚 涯 厓
𧅰	護
髪	髮
鬂	鬢
籖	籤
髩	鬢
宼	寇
龝	秋
飡	餐
冦	寇
𪨷	岩
悮	誤
対	對
躱	躲
繋	繫
郰	鄹
湌	餐
郎	郎
豼	貔
敓	敚
偸	偷
楡	榆
婾	偷
喩	喻
兪	俞
飮	飲
逰	游
呑	吞
𠪾	歷
聨	聯
弾	彈
鼍	鼉
貟	員
夀	壽
屛	屏
淸	清
𣒣	芒
郞	郎
吿	告
緖	緒
㓕	滅
磗	磚
瑍	𤥺
顚	顛
倶	俱
厯	歷
涙	泪
髙	高
繈	襁
頺	頽
莭	節
髠	髡
鄕	鄉
塡	填
愼	慎
餋	養
靑	青
𦋀	罥
䒶	天
𠤷	匜
𥴦	篴
𠒋	凶
𦜕	跽
𠏉	幹
㵎	澗
𤍠	熱
菭	苔
嫓	媲
濳	潜
𤑔	爇
斾	旆
擥	攬
㮄	榜
糭	粽
鯰	鮎
彚	彙
濵	濱
𤮲	瓮
叅	參
劔	劍
踨	踪
鶑	鶯
浄	净
韀	韉
睂	眉
桞	柳
𰅫	𠥰
𩍴	𩎈
帲	帡
𧫮	𧩱
圎	圓
𦖯	䧦
𥅝	䀘
硏	研
𰧪	礸
𦸇	𦬸
騈	駢
𬵈	𩶾
𱄔	駰
𡙠	𡙛
𮂠	禶
姸	妍
𢩄	戽
𠸝	喋
𧯌	䜰
巓	巔
𧻞	趓
腁	胼
𥕦	磙
圗	圖
煕	熙
𩟪	饡
墍	塈
𤇆	烟
蔉	蓘
詽	訮
𪏡	斢
𢭇	摠
敻	夐
刴	剁
餠	餅
𬚹	𦚩
𦱍	菻
獔	獆
𰷻	𧽍
暭	暤
𧶀	𧶊
𥣪	穳
𢨾	戾
𰩇	窌
𥿰	𦀉
𦕻	聰
𥠺	蒀
𠌸	偋
𠛬	刑
𧪌	誱
𭥦	昴
𠰸	咽
𥁕	昷
𢷽	摡
翶	翱
𡠖	𡟷
𤀀	澚
漑	溉
𮒟	𧄽
𭟎	㦫
𦄲	縮
𡏲	塈
鷱	鷎
𡣶	㜺
𠆕	𢆣
噑	嗥
𢴀	摍
𧫲	諞
曁	暨
𦐧	羿
𭻐	𤱧
偼	倢
𧙊	裀
廽	迴
𨇃	躦
戸	户
𮝰	䡽
𪜭	個
豣	豜
𪡌	咨
郉	邢
𫩴	哚
𢊸	廪
𠅙	亮
𮃄	𥞛
𦨼	𦨳
𬹵	𪘉
𰙌	欭
𦲬	菻
𠋏	傊
𰱵	蓿
𮁳	𥙨
𥓁	硇
媫	婕
𡎖	塤
𥅳	䀘
痲	麻
𪬑	𫺬
𰹏	𨋖
𥧑	窴
輧	軿
𥔵	磁
倂	并
寏	𡨡
𬎨	𤬾
㛆	㛊
𦂟	繴
筓	笄
𨹃	𨹄
𮡯	鉚
𮦍	𩂞
𥄅	昈
𡂐	囋
廏	厩
皡	皞
逬	迸
𮍧	叟
𦢤	臢
𥬸	𥬲
𮀶	研
𢻻	啓
𥈤	睫
𫞟	爲
𨦃	䤪
𥳁	𥲤
𧧇	𧧨
𬆔	𣧷
挅	挆
槇	槙
𨝣	鄙
𣕹	𣓉
𧊱	𧊶
𭰊	洇
愌	𢚾
𨎊	𨍽
𪏖	䵎
𪇔	鷀
喞	唧
𦵉	萐
𥎞	䂎
𮆫	籫
𰡼	𤤸
甁	瓶
𣪩	殺
𬺠	龣
𡫞	逾
孶	孳
𫮰	墻
呉	吴
娯	娱
㯽	檳
𡣕	嬪
𢷤	擯
𣩵	殯
𥖶	𥖶
𦆯	繽
𦿜	薲
𧢘	䚔
𨮘	鑌
𨷚	𩰗
𩦿	驞
𩪯	髕
𩯭	鬢
𪇧	𪇕
𬛜	臏
𭀀	儐
𭿬	矉
𱁏	䨈
𱆉	𩰝
𱆡	𩴱
#注意	本行以下是为改进繁体文档混杂简体的状况而添加的转换，如您转换的是本身带有简体内容的文档，请删除以下内容
厂	廠
儿	兒
亏	虧
与	與
亿	億
个	個
广	廣
门	門
义	義
卫	衛
飞	飛
习	習
马	馬
乡	鄉
开	開
无	無
专	專
艺	藝
厅	廳
区	區
车	車
贝	貝
冈	岡
见	見
气	氣
长	長
币	幣
仅	僅
从	從
仑	侖
仓	倉
风	風
乌	烏
凤	鳳
为	爲
忆	憶
计	計
订	訂
认	認
讥	譏
队	隊
办	辦
邓	鄧
劝	勸
双	雙
书	書
击	擊
扑	撲
节	節
厉	厲
龙	龍
灭	滅
轧	軋
东	東
卢	盧
业	業
旧	舊
帅	帥
归	歸
电	電
号	號
叽	嘰
叹	嘆
们	們
仪	儀
丛	叢
尔	爾
乐	樂
处	處
鸟	鳥
务	務
冯	馮
闪	閃
兰	蘭
头	頭
汉	漢
宁	寧
讨	討
写	寫
让	讓
礼	禮
训	訓
议	議
讯	訊
记	記
辽	遼
边	邊
圣	聖
对	對
纠	糾
丝	絲
动	動
巩	鞏
执	執
扩	擴
扫	掃
场	場
扬	揚
亚	亞
机	機
权	權
过	過
协	協
压	壓
厌	厭
页	頁
夺	奪
达	達
夹	夾
轨	軌
尧	堯
迈	邁
毕	畢
贞	貞
师	師
尘	塵
吓	嚇
虫	蟲
吗	嗎
屿	嶼
岁	歲
岂	豈
则	則
刚	剛
网	網
迁	遷
乔	喬
伟	偉
传	傳
优	優
伤	傷
价	價
伦	倫
华	華
伪	僞
会	會
杀	殺
众	衆
爷	爺
伞	傘
创	創
杂	雜
负	負
壮	壯
妆	妝
庄	莊
庆	慶
刘	劉
齐	齊
产	産
闭	閉
问	問
闯	闖
关	關
灯	燈
汤	湯
兴	興
讲	講
讳	諱
军	軍
讶	訝
许	許
讹	訛
论	論
讼	訟
农	農
讽	諷
设	設
访	訪
诀	訣
寻	尋
导	導
孙	孫
阵	陣
阳	陽
阶	階
阴	陰
妇	婦
妈	媽
戏	戲
观	觀
欢	歡
买	買
红	紅
驮	馱
驯	馴
约	約
级	級
纪	紀
驰	馳
纫	紉
寿	壽
麦	麥
玛	瑪
进	進
远	遠
违	違
韧	韌
运	運
抚	撫
坏	壞
抠	摳
扰	擾
贡	貢
抡	掄
抢	搶
坟	墳
护	護
壳	殻
块	塊
声	聲
报	報
拟	擬
芜	蕪
苇	葦
苍	蒼
严	嚴
芦	蘆
劳	勞
极	極
杨	楊
两	兩
丽	麗
医	醫
励	勵
还	還
歼	殲
来	來
连	連
轩	軒
坚	堅
时	時
县	縣
呕	嘔
园	園
旷	曠
围	圍
吨	噸
邮	郵
员	員
听	聽
呛	嗆
呜	嗚
岖	嶇
岗	崗
帐	帳
财	財
针	針
钉	釘
乱	亂
体	體
佣	傭
彻	徹
邻	鄰
肠	腸
龟	龜
犹	猶
狈	狽
条	條
岛	島
饭	飯
饮	飲
冻	凍
状	狀
亩	畝
库	庫
疗	療
应	應
这	這
庐	廬
闰	閏
闲	閑
间	間
闷	悶
灶	竈
灿	燦
沥	瀝
沦	淪
沧	滄
沟	溝
沪	滬
怀	懷
忧	憂
穷	窮
证	證
启	啓
评	評
补	補
识	識
诈	詐
诉	訴
诊	診
词	詞
译	譯
灵	靈
层	層
迟	遲
张	張
际	際
陆	陸
陈	陳
坠	墜
劲	勁
鸡	鷄
纬	緯
驱	驅
纯	純
纱	紗
纲	綱
纳	納
驳	駁
纵	縱
纷	紛
纸	紙
纹	紋
纺	紡
驴	驢
纽	紐
环	環
责	責
现	現
规	規
拢	攏
拣	揀
担	擔
顶	頂
拥	擁
势	勢
拦	攔
拧	擰
拨	撥
择	擇
茎	莖
枢	樞
柜	櫃
枪	槍
枫	楓
构	構
丧	喪
画	畫
枣	棗
卖	賣
矾	礬
矿	礦
码	碼
厕	厠
奋	奮
态	態
欧	歐
殴	毆
垄	壟
轰	轟
顷	頃
转	轉
斩	斬
轮	輪
软	軟
齿	齒
虏	虜
肾	腎
贤	賢
国	國
畅	暢
咙	嚨
鸣	鳴
罗	羅
帜	幟
岭	嶺
凯	凱
败	敗
账	賬
贩	販
贬	貶
购	購
贮	貯
图	圖
钓	釣
侠	俠
侥	僥
侦	偵
侧	側
凭	憑
侨	僑
货	貨
质	質
径	徑
觅	覓
贪	貪
贫	貧
肤	膚
肿	腫
胀	脹
肮	骯
胁	脅
鱼	魚
狞	獰
备	備
饰	飾
饱	飽
饲	飼
变	變
庞	龐
庙	廟
疟	瘧
剂	劑
废	廢
闸	閘
闹	鬧
郑	鄭
单	單
炉	爐
浅	淺
泞	濘
泻	瀉
泼	潑
泽	澤
怜	憐
学	學
宝	寶
宠	寵
审	審
实	實
试	試
诗	詩
诚	誠
衬	襯
视	視
话	話
诞	誕
诡	詭
询	詢
该	該
详	詳
肃	肅
隶	隸
陕	陝
驾	駕
参	參
艰	艱
线	綫
练	練
组	組
绅	紳
细	細
驶	駛
织	織
驹	駒
终	終
驻	駐
绊	絆
驼	駝
绍	紹
绎	繹
经	經
贯	貫
贰	貳
帮	幫
项	項
挟	挾
挠	撓
赵	趙
挡	擋
垫	墊
挤	擠
挥	揮
荐	薦
带	帶
茧	繭
荡	蕩
荣	榮
荤	葷
荧	熒
荫	蔭
药	藥
标	標
栈	棧
栋	棟
栏	欄
柠	檸
树	樹
砖	磚
砚	硯
牵	牽
鸥	鷗
残	殘
轴	軸
轻	輕
鸦	鴉
战	戰
点	點
临	臨
览	覽
竖	竪
尝	嘗
哑	啞
显	顯
贵	貴
虾	蝦
蚁	蟻
蚂	螞
虽	雖
骂	駡
勋	勛
哗	嘩
响	響
哟	喲
峡	峽
罚	罰
贱	賤
贴	貼
贻	貽
钙	鈣
钝	鈍
钞	鈔
钢	鋼
钠	鈉
钥	鑰
钦	欽
钧	鈞
钩	鈎
钮	鈕
毡	氈
氢	氫
选	選
适	適
俩	倆
贷	貸
顺	順
俭	儉
剑	劍
胧	朧
胆	膽
胜	勝
狭	狹
狮	獅
独	獨
狱	獄
贸	貿
饵	餌
饶	饒
蚀	蝕
饺	餃
饼	餅
峦	巒
弯	彎
将	將
奖	奬
疮	瘡
疯	瘋
亲	親
闺	閨
闻	聞
闽	閩
阀	閥
阁	閣
养	養
类	類
娄	婁
