㨗	捷
俛	俯 俛
痾	疴
丟	丢
㕥	以
唫	吟
諮	咨 諮
躳	躬
爕	燮
嬤	嬷
姉	姊
蘤	花
剙	創
謠	謡
薙	剃
鍫	鍬
佈	布
謩	謨
荍	蕎
屆	届
貲	資 貲
駮	駁
䖏	處
偪	逼
谿	溪 谿
㢘	廉
艥	楫
関	關
疉	叠
顏	顔
虆	蔂
毬	球
鎗	槍
鈡	鐘
吳	吴
廕	蔭
獘	斃
䠀	蹚
闚	窺
呂	吕
臙	胭
瘓	痪
橅	模
襉	襇
齧	嚙
峩	峨
斚	斝
沒	没
韻	韵
盫	盦
韁	繮
嬝	裊
飜	翻
聼	聽
辤	辭
謼	呼
胷	胸
溼	濕
噓	嘘
縕	緼
帬	裙
暠	皓
卻	却
蕿	萱
挵	弄
紮	扎
碁	棋
牕	窗
諠	喧
髣	仿
㕘	參
㝠	冥
噉	啖
袴	褲
喫	吃
窻	窗
鹼	碱
椾	箋
剏	創
矙	瞰
舩	船
獎	奬
牆	墻
嶽	岳
𤱊	留
勅	敕
剝	剥
塩	鹽
尟	鮮
痺	痹
𢮥	操
廐	厩
妷	侄
惥	恿
煙	烟
奐	奂
娛	娱
鏁	鎖
軽	輕
賷	賫
𠫹	單
罋	瓮
𣈶	暅
幙	幕
奼	姹
汚	污
囪	囱
茍	苟
攅	攢
鈅	鑰
偺	咱
刪	删
儁	俊
犛	牦
獋	嗥
謟	諂
鉏	鋤
蓆	席
觕	粗
齩	咬
摃	扛
汙	污
畄	留
悅	悦
彛	彝
辳	農
蓴	蒓
湼	涅
籨	奩
䛡	話
陿	狹
紥	扎
閗	鬥
𡐨	野
嘑	呼
欝	鬱
祕	秘 祕
螎	融
劵	券
僊	仙
涗	涚
詶	酬
侷	局
瓉	瓚
咲	笑
匲	奩
迻	移
緐	繁
榘	矩
雝	雍
鑪	爐 鑪
尅	剋
弔	吊
粦	磷
㟁	岸
橜	橛
裠	裙
蟁	蚊
菑	灾
䗬	蜂
巖	岩
牎	窗
羴	膻
兌	兑
餚	肴
髈	膀
琖	盞
搇	撳
撦	扯
兠	兜
宻	密
麤	粗
婬	淫
纉	纘
閱	閲
減	减
蕋	蕊
揹	背
傚	效
蜨	蝶
𡞵	㛟
傑	杰
翄	翅
効	效
欅	櫸
宂	冗
唘	啓
篠	筱
濇	澀
枒	丫
肐	胳
窯	窑
寃	冤
掛	挂
槑	梅
渙	涣
廸	迪
廼	乃
衚	胡
隷	隸
捱	挨
𦃂	緊
桺	柳
𥤚	秋
袞	衮
讚	贊
牀	床
㩗	携
凴	憑
荊	荆
餽	饋
斵	斫
勳	勛
観	觀
蔕	蒂
亾	亡
壜	罎
蔴	麻
羗	羌
躰	體
譁	嘩
筩	筒
瘺	瘻
俬	私
騣	鬃
咊	和
慄	栗
殀	夭
斉	齊
旤	禍
菸	烟
兎	兔
喚	唤
覜	眺
袠	帙
蟇	蟆
泝	溯
㮣	概
骵	體
処	處
蝟	猬
跴	踩
嘷	嗥
蔘	參
䥥	鐮
稈	秆
廵	巡
蒐	搜 蒐
顇	悴
蝨	虱
箏	筝
線	綫 線
澁	澀
暎	映
偘	侃
㴱	深
邉	邊
櫫	橥
壠	壟
済	濟
烕	滅
餈	糍
稜	棱
囬	回
緜	綿
隄	堤
矴	碇
荳	豆
撐	撑
簷	檐
譆	嘻
贑	贛
趂	趁
湻	淳
誖	悖
蝯	猿
眾	衆
盪	蕩
蜺	霓
顋	腮
龢	和 龢
樷	叢
勻	匀
燻	熏
鴈	雁
㝛	宿
𦂳	緊
逕	徑 逕
椀	碗 椀
凟	瀆
辠	罪
艶	艷
倸	睬
毘	毗
箒	帚
觝	抵
塟	葬
叚	假 叚
𦵏	葬
侫	佞
蓭	庵
吶	呐
畧	略
溫	温
𦕈	眇
㬉	暖
醕	醇
鼈	鱉
蠍	蝎
痌	恫
冑	胄
粇	糠
罇	樽
姦	奸
謌	歌
嘠	嘎
竢	俟
尩	尪
殭	僵
蘐	萱
寳	寶
経	經
兗	兖
韮	韭
恆	恒
燄	焰
刱	創
週	周
燬	毁
䈰	筲
懐	懷
桮	杯
卹	恤
抝	拗
簒	篡
覊	羈
潄	漱
嬾	懶
齶	腭
缽	鉢
彊	强 疆 僵 彊
慾	欲
緾	纏
挱	挲
嚥	咽
仝	同 仝
冩	寫
𩗗	颶
窓	窗
橤	蕊 橤
癡	痴
彫	雕 凋
劎	劍
脗	吻
衇	脉
繦	襁
匵	櫝
叡	睿
漵	溆
钁	鐝 钁
喒	咱
覌	觀
査	查
袵	衽
強	强
霑	沾
畂	畝
煗	暖
栞	刊
罈	罎
媯	嬀
