偽	僞
兑	兌
卧	臥
叁	叄
只	只
台	臺 台
吃	喫 吃
唇	脣
啓	啓
啟	啓
喫	喫
囱	囪
妝	妝
媪	媼
媯	嬀
悦	悅
愠	慍
户	戶
才	纔 才
捝	挩
揾	搵
敍	敘
敘	敘
敚	敓
枱	檯
枴	柺
核	覈 核
棁	梲
棱	棱
榅	榲
氲	氳
涚	涗
温	溫
溈	潙
潀	潨
濕	溼
灶	竈
為	爲
煙	菸 煙
煴	熅
痴	癡
皁	皁
皂	皁 皂
眾	衆
秘	祕
税	稅
稜	棱 稜
粧	妝
粽	糉
糉	糉
糭	糉
綫	線
線	線
緼	縕
缽	鉢
脱	脫
腽	膃
葱	蔥
蒀	蒕
蒍	蔿
藴	蘊
蜕	蛻
衞	衛
衹	只
説	說
踴	踊
輼	轀
醖	醞
針	鍼 針
鈎	鉤
鋭	銳
閲	閱
鰛	鰮
