# Open Chinese Convert (OpenCC) Dictionary
# File: HKVariantsRevPhrases.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: hk2s.json, hk2t.json
#
# Notes:
# - This file contains phrase-level exceptions for reverse Hong Kong variant
#   conversion. When a phrase here is matched, that span is converted by this
#   entry and is not affected by the character-level HKVariantsRev.txt mappings.
# - It is related to HKVariantsPhrases.txt, but the two files are not required
#   to be exact reverse mappings. Reverse variant conversion often needs
#   identity phrase exceptions that have no corresponding forward phrase entry.

才德	才德
才德兼備	才德兼備
才思	才思
才思敏捷	才思敏捷
才悟	才悟
才情	才情
才智	才智
才望	才望
才氣	才氣
才氣無雙	才氣無雙
才氣縱橫	才氣縱橫
才氣過人	才氣過人
才爲世出	才爲世出
才用	才用
才略	才略
才略過人	才略過人
才當曹斗	才當曹斗
才疏學淺	才疏學淺
才疏德薄	才疏德薄
才疏志大	才疏志大
才疏意廣	才疏意廣
才疏計拙	才疏計拙
才短氣粗	才短氣粗
才秀人微	才秀人微
才能	才能
才能幹濟	才能幹濟
才色	才色
才華	才華
才華出衆	才華出衆
才華橫溢	才華橫溢
才華洋溢	才華洋溢
才華蓋世	才華蓋世
才蔽識淺	才蔽識淺
才藝	才藝
才藝卓絕	才藝卓絕
才藝技能	才藝技能
才藝班	才藝班
才藝秀	才藝秀
才藻	才藻
才語	才語
才識	才識
才識過人	才識過人
才貌	才貌
才貌出衆	才貌出衆
才貌雙全	才貌雙全
才貫二酉	才貫二酉
才資	才資
才輕德薄	才輕德薄
才過子建	才過子建
才過屈宋	才過屈宋
才非玉潤	才非玉潤
才高八斗	才高八斗
才高意廣	才高意廣
才高氣傲	才高氣傲
才高行厚	才高行厚
才高行潔	才高行潔
扎針	扎針
打完針	打完針
打針	打針
披針形葉	披針形葉
抵針	抵針
抽油煙機	抽油煙機
拈針指	拈針指
指北針	指北針
指南針	指南針
指揮台	指揮台
指針	指針
指針式	指針式
捲煙畫片	捲煙畫片
捷才	捷才
掃眉才子	掃眉才子
排煙	排煙
探針	探針
接紹香煙	接紹香煙
接續香煙	接續香煙
控制台	控制台
插針	插針
揚己露才	揚己露才
搖針	搖針
搗針	搗針
撞針	撞針
撥亂之才	撥亂之才
擬核	擬核
擺針	擺針
收針	收針
放射性煙羽	放射性煙羽
放煙	放煙
放煙幕	放煙幕
放煙幕彈	放煙幕彈
放煙火	放煙火
教育方針	教育方針
敹一針	敹一針
文才	文才
文武全才	文武全才
文選爛秀才半	文選爛秀才半
斗筲之才	斗筲之才
斷煙	斷煙
方針	方針
施放煙火	施放煙火
時針	時針
晶核	晶核
暈針	暈針
暮煙	暮煙
曠世之才	曠世之才
曠世奇才	曠世奇才
曠世逸才	曠世逸才
曲別針	曲別針
月核	月核
有才	有才
有才幹	有才幹
有才無命	有才無命
有核	有核
有煙煤	有煙煤
朝核	朝核
未易才	未易才
朽木之才	朽木之才
杏核	杏核
東海撈針	東海撈針
杳無人煙	杳無人煙
松煙	松煙
松煙墨	松煙墨
松針	松針
板煙	板煙
果核	果核
枝針	枝針
柳煙花霧	柳煙花霧
核下	核下
核二廠	核二廠
核人	核人
核仁	核仁
核以	核以
核僵持	核僵持
核兒	核兒
核冬天	核冬天
核出口控制	核出口控制
核力	核力
核化	核化
核區	核區
核可	核可
核合成	核合成
核和	核和
核四	核四
核型	核型
核子	核子
核子廠	核子廠
核孔	核孔
核島	核島
核工	核工
核彈	核彈
核心	核心
核戰	核戰
核戰鬥部	核戰鬥部
核技術	核技術
核數	核數
核是	核是
核有	核有
核果	核果
核桃	核桃
核武	核武
核火箭發動機	核火箭發動機
核炫	核炫
核燃料後處理	核燃料後處理
核爆	核爆
核爆炸煙雲	核爆炸煙雲
核狀	核狀
核球	核球
核甘	核甘
核當量	核當量
核發	核發
核發電	核發電
核發電廠	核發電廠
核的	核的
核磁	核磁
核種	核種
核突	核突
核粒	核粒
核糖	核糖
核糖核酸	核糖核酸
核素	核素
核線	核線
核能	核能
核能技術	核能技術
核能發電	核能發電
核能發電廠	核能發電廠
核能電廠	核能電廠
核膜	核膜
核苷	核苷
核菌	核菌
核融合	核融合
核融合發電	核融合發電
核解	核解
核計劃	核計劃
核試	核試
核談	核談
核質	核質
核載	核載
核辦	核辦
核配	核配
核酪	核酪
核酶	核酶
核酸	核酸
核防禦	核防禦
核電	核電
核電廠	核電廠
核電磁脈衝	核電磁脈衝
核體	核體
核點	核點
桃核	桃核
桃核雕	桃核雕
桐花煙	桐花煙
桑針	桑針
梅核	梅核
棄核	棄核
棋逢對手將遇良才	棋逢對手將遇良才
棒針	棒針
棒針衫	棒針衫
棗核	棗核
棘針	棘針
棘針科	棘針科
棘針門	棘針門
極核	極核
槃才	槃才
槃槃大才	槃槃大才
橘核	橘核
檢核	檢核
檢核表	檢核表
步線行針	步線行針
步飛煙傳	步飛煙傳
歪才	歪才
歷練之才	歷練之才
歸煙	歸煙
殺才	殺才
毒針	毒針
比才	比才
毛線針	毛線針
毫針	毫針
氘核	氘核
水底撈針	水底撈針
水煙	水煙
求才	求才
求才若渴	求才若渴
江南四大才子	江南四大才子
江淹才盡	江淹才盡
江郎才盡	江郎才盡
沒人煙	沒人煙
沒有人煙	沒有人煙
油煙	油煙
油煙機	油煙機
沿才授職	沿才授職
注射針	注射針
注射針頭	注射針頭
洗面皂	洗面皂
洗髮皂	洗髮皂
洛陽才子	洛陽才子
浙江天台縣	浙江天台縣
浩如煙氣	浩如煙氣
浩如煙海	浩如煙海
海底撈針	海底撈針
深海煙囪	深海煙囪
清水煙	清水煙
渺無人煙	渺無人煙
滿腹才學	滿腹才學
漏針	漏針
潑才	潑才
潑煙花	潑煙花
潑賤煙花	潑賤煙花
濃煙	濃煙
濟世之才	濟世之才
火滅煙消	火滅煙消
火煙	火煙
灰飛煙滅	灰飛煙滅
炊煙	炊煙
炊煙裊裊	炊煙裊裊
烏煙瘴氣	烏煙瘴氣
烤煙	烤煙
烽煙	烽煙
烽煙四起	烽煙四起
烽煙四起戰火紛飛	烽煙四起戰火紛飛
烽煙遍地	烽煙遍地
無核	無核
無煙	無煙
無煙囪工業	無煙囪工業
無煙火藥	無煙火藥
無煙炭	無煙炭
無煙焦煤	無煙焦煤
無煙煤	無煙煤
無線新聞台	無線新聞台
無針不引線	無針不引線
無針注射器	無針注射器
煙供	煙供
煙傢伙	煙傢伙
煙具	煙具
煙合包	煙合包
煙味	煙味
煙商	煙商
煙囪	煙囪
煙土	煙土
煙塵	煙塵
煙夜蛾	煙夜蛾
煙子	煙子
煙客	煙客
煙岸	煙岸
煙嵐	煙嵐
煙嵐雲岫	煙嵐雲岫
煙幕	煙幕
煙幕彈	煙幕彈
煙戶	煙戶
煙景	煙景
煙月	煙月
煙月場	煙月場
煙月牌	煙月牌
煙柱	煙柱
煙桿	煙桿
煙槍	煙槍
煙槍洞	煙槍洞
煙樹	煙樹
煙機	煙機
煙毒	煙毒
煙毒犯	煙毒犯
煙氣	煙氣
煙油	煙油
煙泡	煙泡
煙波	煙波
煙波客	煙波客
煙波浩渺	煙波浩渺
煙波萬頃	煙波萬頃
煙波釣叟	煙波釣叟
煙波釣徒	煙波釣徒
煙海	煙海
煙消冰釋	煙消冰釋
煙消火滅	煙消火滅
煙消雲散	煙消雲散
煙消霧散	煙消霧散
煙渚	煙渚
煙火	煙火
煙火之警	煙火之警
煙火氣	煙火氣
煙火秀	煙火秀
煙火節	煙火節
煙火鄰居	煙火鄰居
煙火食	煙火食
煙煤	煙煤
煙熅	煙熅
煙熏火燎	煙熏火燎
煙燄障天	煙燄障天
煙燈	煙燈
煙燻	煙燻
煙燻妝	煙燻妝
煙爨	煙爨
煙生喉舌	煙生喉舌
煙瘴	煙瘴
煙癮	煙癮
煙盒	煙盒
煙硝	煙硝
煙硝味	煙硝味
煙穗	煙穗
煙突	煙突
煙窩	煙窩
煙筒	煙筒
煙筒山	煙筒山
煙管	煙管
煙管麪	煙管麪
煙篷	煙篷
煙籠霧鎖	煙籠霧鎖
煙粉	煙粉
煙縷	煙縷
煙肉	煙肉
煙膏	煙膏
煙臭	煙臭
煙臭味	煙臭味
煙臺	煙臺
煙臺地區	煙臺地區
煙臺市	煙臺市
煙臺師範學院	煙臺師範學院
煙花	煙花
煙花債	煙花債
煙花場	煙花場
煙花女	煙花女
煙花寨	煙花寨
煙花寨主	煙花寨主
煙花巷	煙花巷
煙花市	煙花市
煙花廠	煙花廠
煙花柳巷	煙花柳巷
煙花窟	煙花窟
煙花簿	煙花簿
煙花粉柳	煙花粉柳
煙花粉黛	煙花粉黛
煙花行院	煙花行院
煙花門戶	煙花門戶
煙花陣	煙花陣
煙花隊	煙花隊
煙花風月	煙花風月
煙苗	煙苗
煙蓑雨笠	煙蓑雨笠
煙視媚行	煙視媚行
煙酒不沾	煙酒不沾
煙酸	煙酸
煙鍋	煙鍋
煙雨	煙雨
煙雨樓	煙雨樓
煙雲	煙雲
煙雲供養	煙雲供養
煙雲過眼	煙雲過眼
煙霏	煙霏
煙霏霧集	煙霏霧集
煙霏露結	煙霏露結
煙霞	煙霞
煙霞外人	煙霞外人
煙霞痼疾	煙霞痼疾
煙霞癖	煙霞癖
煙霧	煙霧
煙霧劑	煙霧劑
煙霧彈	煙霧彈
煙霧瀰漫	煙霧瀰漫
煙霧症	煙霧症
煙霧迷漫	煙霧迷漫
煙霾	煙霾
煙靄	煙靄
煙飛星散	煙飛星散
煙館	煙館
煙鬟	煙鬟
煙鬼	煙鬼
煤核	煤核
煤煙	煤煙
熔核	熔核
熱核	熱核
燔針	燔針
片善小才	片善小才
物色人才	物色人才
特殊才能	特殊才能
狗才	狗才
狼煙	狼煙
狼煙四起	狼煙四起
玉尺量才	玉尺量才
王佐之才	王佐之才
瑣才	瑣才
甄才品能	甄才品能
甄選人才	甄選人才
男才女貌	男才女貌
畎畝下才	畎畝下才
留針	留針
異才	異才
