万望	萬望
万机	萬機
万桶	萬桶
万步	萬步
万死	萬死
万段	萬段
万点	萬點
万物	萬物
万状	萬狀
万用	萬用
万盛	萬盛
万石	萬石
万福	萬福
万种	萬種
万窍	萬竅
万端	萬端
万签插架	萬籤插架
万箱	萬箱
万籁	萬籟
万米	萬米
万缘	萬緣
万能	萬能
万般	萬般
万言	萬言
万象	萬象
万贯	萬貫
万道	萬道
万邦	萬邦
万部	萬部
万里	萬里
万重	萬重
万金	萬金
万钧	萬鈞
万锺	萬鍾
万难	萬難
万顷	萬頃
万馀	萬餘
万马	萬馬
三万	三萬
三个	三個
三余	三餘
三克	三克
三党	三黨
三冬	三冬
三准	三準
三千	三千
三只	三隻
三台	三臺
三合	三合
三同	三同
三向	三向
三周	三週
三复	三複
三尸	三尸
三征七辟	三徵七辟
三才	三才
三扎	三紮
三杆	三杆
三板	三板
三极	三極
三涂	三塗
三秋	三秋
三统历	三統曆
三舍	三舍
三苏	三蘇
三表	三表
三辟	三辟
三针	三針
三面	三面
上万	上萬
上了	上了
上党	上黨
上千	上千
上升	上升
上台	上臺
上叶	上葉
上吊	上吊
上周	上週
上回	上回
上复	上覆
上当	上當
上彩	上彩
上搜	上搜
上柜	上櫃
上梁	上樑
上游	上游
上签	上籤
上舍	上舍
上药	上藥
上蜡	上蠟
上表	上表
上课钟	上課鐘
上面	上面
下了	下了
下于	下於
下仑路	下崙路
下出	下出
下厂	下廠
下发	下發
下台	下臺
下叶	下葉
下同	下同
下周	下週
下回	下回
下彩	下彩
下才	下才
下摆	下襬
下梁	下樑
下注	下注
下游	下游
下种	下種
下签	下籤
下药	下藥
下表	下表
下课钟	下課鐘
下采	下采
下里	下里
下面	下面 下麵
不丑	不醜
不了	不了
不修	不修
不借	不借
不克	不克
不克制	不剋制
不准	不准 不準
不出	不出
不升	不升
不占	不佔
不只	不只
不合	不合
不吊	不弔
不同	不同
不向	不向
不周	不周
不复	不復
不寒而栗	不寒而慄
不尽	不盡
不干	不幹
不干不净	不乾不淨
不幸	不幸
不当	不當
不彩	不彩
不愿	不願
不才	不才
不托	不託
不折	不折
不挂	不掛
不斗	不鬭
不极	不極
不欲	不欲
不涂	不塗
不确	不確
不胜	不勝
不致	不致
不舍	不捨
不药而愈	不藥而癒
不获	不獲
不表	不表
不谷	不穀
不适	不適
不通吊庆	不通弔慶
不采	不採
不锈钢	不鏽鋼
不须	不須
不食干腊	不食乾腊
与	與
与克制	與剋制
与党	與黨
丑三	丑三
丑丑	醜醜
丑丫头	醜丫頭
丑事	醜事
丑于	醜於
丑人	醜人
丑侪	醜儕
丑八怪	醜八怪
丑剌剌	醜剌剌
丑剧	醜劇
丑化	醜化
丑史	醜史
丑名	醜名
丑咤	醜吒
丑地	醜地
丑声	醜聲
丑头怪脸	醜頭怪臉
丑夷	醜夷
丑女	醜女
丑奴儿	醜奴兒
丑妇	醜婦
丑媳	醜媳
丑小鸭	醜小鴨
丑巴怪	醜巴怪
丑年	丑年
丑徒	醜徒
丑态	醜態
丑恶	醜惡
丑日	丑日
丑旦	丑旦
丑时	丑時
丑月	丑月
丑末	醜末
丑杂	醜雜
丑样	醜樣
丑死	醜死
丑比	醜比
丑毙了	醜斃了
丑沮	醜沮
丑生	醜生
丑男	醜男
丑类	醜類
丑脸	醜臉
